due_date,received_date,days_late,amount,state
2023-01-08,2023-01-08,0,620.00,ON_TIME
2023-02-08,2023-02-08,0,620.00,ON_TIME
2023-03-08,2023-03-08,0,620.00,ON_TIME
2023-04-08,2023-04-08,0,620.00,ON_TIME
2023-05-08,2023-05-08,0,620.00,ON_TIME
2023-06-08,2023-06-08,0,620.00,ON_TIME
2023-07-08,2023-07-08,0,620.00,ON_TIME
2023-08-08,2023-08-08,0,620.00,ON_TIME
2023-09-08,2023-09-08,0,620.00,ON_TIME
2023-10-08,2023-10-08,0,620.00,ON_TIME
2023-11-08,2023-11-08,0,620.00,ON_TIME
2023-12-08,2023-12-08,0,620.00,ON_TIME
2024-01-08,2024-01-08,0,620.00,ON_TIME
2024-02-08,2024-02-08,0,620.00,ON_TIME
2024-03-08,2024-03-11,3,620.00,WATCH
2024-04-08,2024-04-16,8,620.00,ELEVATED
